yt_channel_id (S),yt_published_at (S),yt_track_id (S),yt_track_name (S),spotify_found_time (S),spotify_playlist (S),spotify_uri (S)
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-28T20:31:37.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlNjMDJyS0pYeDlB,CK/NY - Fortys On Ice (Majestic Mix),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-29T00:08:35.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnM2NEh3eWhIbFc0,Aurasfere - Terrasuave (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-29T09:49:14.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkFsVmx0QkpHZy1j,Remy & Sven - Silent Eruption (1992),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-29T21:39:06.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmRwV0REbmRWOUZJ,Alien Signal - Quantum Limit (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-30T19:28:57.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlhob1h0QXRYc0tJ,Alien Signal - First Approach (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-30T20:05:40.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjB5Q1RBT0o2Umo4,Alien Signal - The Water Hole (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-31T15:57:43.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlhZVVZtbWFUU0dZ,Shamanic Tribes On Acid - Spiral 303 (1997),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-03-31T16:45:19.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmltN1R3Q2dGZExz,Aurasfere - Sunrise On Epsilon (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T09:43:57.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkp4Z0dWa3RyYk00,Aurasfere - The Greenhouse Effect (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T10:44:10.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmgzX3lWWXZ2dmJ3,E-Scapes - C.I.U. Diaga II M.D.O. (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T12:12:34.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlZ5Z0ZKLW5mMHlJ,E-Scapes - Liquid Eye (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T12:45:52.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkUyZGVwYjRzNFB3,E-Scapes - II Souls (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T15:32:38.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjA5VzFPRzRjSWFR,Stryke - Equinox (1997),2019-12-01T04:58:46.637813+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:1IXnQ5AMDDLzTnhI6jISYA
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T16:46:17.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmcwYWlfMjdGdExz,Stryke - Red Groove (1997),2019-12-01T04:58:47.257951+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:0bCELkhOs1emMqTTZ0Qd7p
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-01T20:27:58.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmFvelNUS1c5Tmxz,Astralasia - Aloo (1994),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-02T11:01:24.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlNMZGFXNjNxSGNv,Marcello & Derrick May - Serenity (Basic Cut),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-02T22:54:01.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLloybTVaZXV0akJF,Linear Draft - Sunrise (1998),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-03T00:04:49.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnpYX2lXbHJOTFhr,Ultraphunk - Ultra 8b (1998),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-03T17:33:33.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLlRVU2JtZXpoWkIw,D.I.D. - Quest (1995),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T00:52:00.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmozX1FtNmxZRVRj,Aural Imbalance - Aural Navigation (Part Two),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T12:16:45.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkFqYzRmNTRGUHpF,Sola Fides - French (1996),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T13:38:58.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLmE5R2tSU0JHOXpz,Marky B. - Night-Space (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T14:00:24.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLndLM1ZoSF9BdlVz,Marky B. - Groovy Baby (1993),,,
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T16:22:16.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLko5SlZtdG51eUFv,Time Modem - Ibogain (1995),2019-12-01T04:58:49.337895+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:6WF6QTsownhZ3b6UndICrx
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T16:48:54.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLkpnNVJyUjd3cFhj,Holophonia - Nadir (1995),2019-12-01T04:58:49.938146+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:0FJ5EEqPugxbOMpMPPKIzt
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-04T17:46:47.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLnRVWVpvcFRxM2FV,Holophonia - Morbus (1995),2019-12-01T04:58:50.558050+00:00,7GlxpQjjxRjmbb3RP2rDqI,spotify:track:654iI2OrWehSzQ7d0kDCxx
UCL4J20Y1UpQGttcNXMB2j9Q,2010-04-05T17:14:15.000Z,VVVMNEoyMFkxVXBRR3R0Y05YTUIyajlRLjNRT2g5b05xUEY4,Om - Wheels Of Light (1993),,,
